"Step","counting_extra_small_rt_encoder_perm_invariant_0 - sequence_accuracy","counting_extra_small_rt_encoder_perm_invariant_0 - sequence_accuracy__MIN","counting_extra_small_rt_encoder_perm_invariant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0.0001171875","0.0001171875","0.0001171875"
"400","0.1363671875","0.1363671875","0.1363671875"
"500","0.316796875","0.316796875","0.316796875"
"600","0.157265625","0.157265625","0.157265625"
"700","0.3902734375","0.3902734375","0.3902734375"
"800","0","0","0"
"900","0.5251171875","0.5251171875","0.5251171875"
"1000","0.4758203125","0.4758203125","0.4758203125"
"1100","0.24125","0.24125","0.24125"
"1200","0.70796875","0.70796875","0.70796875"
"1300","0.7810546875","0.7810546875","0.7810546875"
"1400","0.30546875","0.30546875","0.30546875"
"1500","0.67078125","0.67078125","0.67078125"
"1600","0.7767578125","0.7767578125","0.7767578125"
"1700","0.575703125","0.575703125","0.575703125"
"1800","0.77765625","0.77765625","0.77765625"
"1900","0.6629296875","0.6629296875","0.6629296875"
"2000","0.8105859375","0.8105859375","0.8105859375"
"2100","0.6324609375","0.6324609375","0.6324609375"
"2200","0.8138671875","0.8138671875","0.8138671875"
"2300","0.59890625","0.59890625","0.59890625"
"2400","0.8243359375","0.8243359375","0.8243359375"
"2500","0.8385546875","0.8385546875","0.8385546875"
"2600","0.883125","0.883125","0.883125"
"2700","0.915625","0.915625","0.915625"
"2800","0.914375","0.914375","0.914375"
"2900","0.91828125","0.91828125","0.91828125"
"3000","0.91046875","0.91046875","0.91046875"
"3100","0.9234375","0.9234375","0.9234375"
"3200","0.931796875","0.931796875","0.931796875"
"3300","0.933828125","0.933828125","0.933828125"
"3400","0.883984375","0.883984375","0.883984375"
"3500","0.9326953125","0.9326953125","0.9326953125"
"3600","0.4477734375","0.4477734375","0.4477734375"
"3700","0.9253515625","0.9253515625","0.9253515625"
"3800","0.929921875","0.929921875","0.929921875"
"3900","0.9305078125","0.9305078125","0.9305078125"
"4000","0.939609375","0.939609375","0.939609375"
"4100","0.93984375","0.93984375","0.93984375"
"4200","0.9419140625","0.9419140625","0.9419140625"
"4300","0.950625","0.950625","0.950625"
"4400","0.958359375","0.958359375","0.958359375"
"4500","0.9665625","0.9665625","0.9665625"
"4600","0.9683984375","0.9683984375","0.9683984375"
"4700","0.9730859375","0.9730859375","0.9730859375"
"4800","0.9765625","0.9765625","0.9765625"
"4900","0.97390625","0.97390625","0.97390625"
"5000","0.973359375","0.973359375","0.973359375"
"5100","0.965","0.965","0.965"
"5200","0.97640625","0.97640625","0.97640625"
"5300","0.9731640625","0.9731640625","0.9731640625"
"5400","0.95140625","0.95140625","0.95140625"
"5500","0.9776171875","0.9776171875","0.9776171875"
"5600","0.967265625","0.967265625","0.967265625"
"5700","0.9741015625","0.9741015625","0.9741015625"
"5800","0.9329296875","0.9329296875","0.9329296875"
"5900","0.978125","0.978125","0.978125"
"6000","0.9768359375","0.9768359375","0.9768359375"
"6100","0.8851171875","0.8851171875","0.8851171875"
"6200","0.979140625","0.979140625","0.979140625"
"6300","0.9773828125","0.9773828125","0.9773828125"
"6400","0.9773828125","0.9773828125","0.9773828125"
"6500","0.9613671875","0.9613671875","0.9613671875"
"6600","0.97890625","0.97890625","0.97890625"
"6700","0.9789453125","0.9789453125","0.9789453125"
"6800","0.9805078125","0.9805078125","0.9805078125"
"6900","0.9730859375","0.9730859375","0.9730859375"
"7000","0.9779296875","0.9779296875","0.9779296875"
"7100","0.9812109375","0.9812109375","0.9812109375"
"7200","0.98015625","0.98015625","0.98015625"
"7300","0.98046875","0.98046875","0.98046875"
"7400","0.9828125","0.9828125","0.9828125"
"7500","0.9818359375","0.9818359375","0.9818359375"
"7600","0.9855859375","0.9855859375","0.9855859375"
"7700","0.987265625","0.987265625","0.987265625"
"7800","0.988359375","0.988359375","0.988359375"
"7900","0.982578125","0.982578125","0.982578125"
"8000","0.9884375","0.9884375","0.9884375"
"8100","0.98921875","0.98921875","0.98921875"
"8200","0.98875","0.98875","0.98875"
"8300","0.9904296875","0.9904296875","0.9904296875"
"8400","0.9891015625","0.9891015625","0.9891015625"
"8500","0.98796875","0.98796875","0.98796875"
"8600","0.9895703125","0.9895703125","0.9895703125"
"8700","0.991640625","0.991640625","0.991640625"
"8800","0.9811328125","0.9811328125","0.9811328125"
"8900","0.991875","0.991875","0.991875"
"9000","0.987890625","0.987890625","0.987890625"
"9100","0.991171875","0.991171875","0.991171875"
"9200","0.9909375","0.9909375","0.9909375"
"9300","0.99140625","0.99140625","0.99140625"
"9400","0.9906640625","0.9906640625","0.9906640625"
"9500","0.9889453125","0.9889453125","0.9889453125"
"9600","0.9933203125","0.9933203125","0.9933203125"
"9700","0.9925","0.9925","0.9925"
"9800","0.991015625","0.991015625","0.991015625"
"9900","0.99109375","0.99109375","0.99109375"
"10000","0.992578125","0.992578125","0.992578125"
"10100","0.9848046875","0.9848046875","0.9848046875"
"10200","0.9918359375","0.9918359375","0.9918359375"
"10300","0.9923828125","0.9923828125","0.9923828125"
"10400","0.9901953125","0.9901953125","0.9901953125"
"10500","0.9923828125","0.9923828125","0.9923828125"
"10600","0.991875","0.991875","0.991875"
"10700","0.9911328125","0.9911328125","0.9911328125"
"10800","0.99203125","0.99203125","0.99203125"
"10900","0.9909765625","0.9909765625","0.9909765625"
"11000","0.99203125","0.99203125","0.99203125"
"11100","0.99140625","0.99140625","0.99140625"
"11200","0.9915234375","0.9915234375","0.9915234375"
"11300","0.9928515625","0.9928515625","0.9928515625"
"11400","0.9927734375","0.9927734375","0.9927734375"
"11500","0.99296875","0.99296875","0.99296875"
"11600","0.99125","0.99125","0.99125"
"11700","0.991015625","0.991015625","0.991015625"
"11800","0.9626171875","0.9626171875","0.9626171875"
"11900","0.9942578125","0.9942578125","0.9942578125"
"12000","0.9922265625","0.9922265625","0.9922265625"
"12100","0.994296875","0.994296875","0.994296875"
"12200","0.9928515625","0.9928515625","0.9928515625"
"12300","0.9942578125","0.9942578125","0.9942578125"
"12400","0.9940625","0.9940625","0.9940625"
"12500","0.9953125","0.9953125","0.9953125"
"12600","0.9953515625","0.9953515625","0.9953515625"
"12700","0.994375","0.994375","0.994375"
"12800","0.99453125","0.99453125","0.99453125"
"12900","0.994375","0.994375","0.994375"
"13000","0.9948046875","0.9948046875","0.9948046875"
"13100","0.99578125","0.99578125","0.99578125"
"13200","0.995234375","0.995234375","0.995234375"
"13300","0.981875","0.981875","0.981875"
"13400","0.9927734375","0.9927734375","0.9927734375"
"13500","0.9913671875","0.9913671875","0.9913671875"
"13600","0.9920703125","0.9920703125","0.9920703125"
"13700","0.9945703125","0.9945703125","0.9945703125"
"13800","0.9947265625","0.9947265625","0.9947265625"
"13900","0.99453125","0.99453125","0.99453125"
"14000","0.992734375","0.992734375","0.992734375"
"14100","0.8554296875","0.8554296875","0.8554296875"
"14200","0.9946484375","0.9946484375","0.9946484375"
"14300","0.9950390625","0.9950390625","0.9950390625"
"14400","0.995703125","0.995703125","0.995703125"
"14500","0.9953125","0.9953125","0.9953125"
"14600","0.9953125","0.9953125","0.9953125"
"14700","0.9937890625","0.9937890625","0.9937890625"
"14800","0.9955078125","0.9955078125","0.9955078125"
"14900","0.9939453125","0.9939453125","0.9939453125"
"15000","0.9953125","0.9953125","0.9953125"
"15100","0.995234375","0.995234375","0.995234375"
"15200","0.9946484375","0.9946484375","0.9946484375"
"15300","0.991328125","0.991328125","0.991328125"
"15400","0.99390625","0.99390625","0.99390625"
"15500","0.9944140625","0.9944140625","0.9944140625"
"15600","0.9937890625","0.9937890625","0.9937890625"
"15700","0.9956640625","0.9956640625","0.9956640625"
"15800","0.9951171875","0.9951171875","0.9951171875"
"15900","0.9915625","0.9915625","0.9915625"
"16000","0.990625","0.990625","0.990625"
"16100","0.99453125","0.99453125","0.99453125"
"16200","0.9951171875","0.9951171875","0.9951171875"
"16300","0.996171875","0.996171875","0.996171875"
"16400","0.9944921875","0.9944921875","0.9944921875"
"16500","0.9939453125","0.9939453125","0.9939453125"
"16600","0.9940625","0.9940625","0.9940625"
"16700","0.9956640625","0.9956640625","0.9956640625"
"16800","0.995390625","0.995390625","0.995390625"
"16900","0.99546875","0.99546875","0.99546875"
"17000","0.996328125","0.996328125","0.996328125"
"17100","0.995546875","0.995546875","0.995546875"
"17200","0.995390625","0.995390625","0.995390625"
"17300","0.9935546875","0.9935546875","0.9935546875"
"17400","0.9937109375","0.9937109375","0.9937109375"
"17500","0.8065234375","0.8065234375","0.8065234375"
"17600","0.9975390625","0.9975390625","0.9975390625"
"17700","0.9965234375","0.9965234375","0.9965234375"
"17800","0.99484375","0.99484375","0.99484375"
"17900","0.9955859375","0.9955859375","0.9955859375"
"18000","0.9953125","0.9953125","0.9953125"
"18100","0.9883984375","0.9883984375","0.9883984375"
"18200","0.98875","0.98875","0.98875"
"18300","0.9973828125","0.9973828125","0.9973828125"
"18400","0.9955859375","0.9955859375","0.9955859375"
"18500","0.9959375","0.9959375","0.9959375"
"18600","0.9933203125","0.9933203125","0.9933203125"
"18700","0.9908984375","0.9908984375","0.9908984375"
"18800","0.995859375","0.995859375","0.995859375"
"18900","0.995859375","0.995859375","0.995859375"
"19000","0.9955078125","0.9955078125","0.9955078125"
"19100","0.99625","0.99625","0.99625"
"19200","0.99640625","0.99640625","0.99640625"
"19300","0.9962890625","0.9962890625","0.9962890625"
"19400","0.9943359375","0.9943359375","0.9943359375"
"19500","0.9959375","0.9959375","0.9959375"
"19600","0.99203125","0.99203125","0.99203125"
"19700","0.994453125","0.994453125","0.994453125"
"19800","0.8844140625","0.8844140625","0.8844140625"
"19900","0.9960546875","0.9960546875","0.9960546875"
"20000","0.9970703125","0.9970703125","0.9970703125"
