"Step","counting_extra_small_rt_encoder_perm_variant_0 - sequence_accuracy","counting_extra_small_rt_encoder_perm_variant_0 - sequence_accuracy__MIN","counting_extra_small_rt_encoder_perm_variant_0 - sequence_accuracy__MAX"
"100","0","0","0"
"200","0","0","0"
"300","0","0","0"
"400","0","0","0"
"500","0","0","0"
"600","0","0","0"
"700","0.0001171875","0.0001171875","0.0001171875"
"800","0.0027734375","0.0027734375","0.0027734375"
"900","0.0030078125","0.0030078125","0.0030078125"
"1000","0.012421875","0.012421875","0.012421875"
"1100","0.0239453125","0.0239453125","0.0239453125"
"1200","0.027265625","0.027265625","0.027265625"
"1300","0.0039453125","0.0039453125","0.0039453125"
"1400","0.095390625","0.095390625","0.095390625"
"1500","0.09578125","0.09578125","0.09578125"
"1600","0.1658984375","0.1658984375","0.1658984375"
"1700","0.1112109375","0.1112109375","0.1112109375"
"1800","0.2493359375","0.2493359375","0.2493359375"
"1900","0.2129296875","0.2129296875","0.2129296875"
"2000","0.3771484375","0.3771484375","0.3771484375"
"2100","0.0246875","0.0246875","0.0246875"
"2200","0.4141015625","0.4141015625","0.4141015625"
"2300","0.1878515625","0.1878515625","0.1878515625"
"2400","0.262421875","0.262421875","0.262421875"
"2500","0.4833203125","0.4833203125","0.4833203125"
"2600","0.4749609375","0.4749609375","0.4749609375"
"2700","0.012890625","0.012890625","0.012890625"
"2800","0.550390625","0.550390625","0.550390625"
"2900","0.547578125","0.547578125","0.547578125"
"3000","0.55890625","0.55890625","0.55890625"
"3100","0.5897265625","0.5897265625","0.5897265625"
"3200","0.480234375","0.480234375","0.480234375"
"3300","0.6054296875","0.6054296875","0.6054296875"
"3400","0.6041015625","0.6041015625","0.6041015625"
"3500","0.6314453125","0.6314453125","0.6314453125"
"3600","0.629296875","0.629296875","0.629296875"
"3700","0.5575","0.5575","0.5575"
"3800","0.6469140625","0.6469140625","0.6469140625"
"3900","0.6534765625","0.6534765625","0.6534765625"
"4000","0.657421875","0.657421875","0.657421875"
"4100","0.6488671875","0.6488671875","0.6488671875"
"4200","0.6825","0.6825","0.6825"
"4300","0.672890625","0.672890625","0.672890625"
"4400","0.6660546875","0.6660546875","0.6660546875"
"4500","0.699765625","0.699765625","0.699765625"
"4600","0.692734375","0.692734375","0.692734375"
"4700","0.6872265625","0.6872265625","0.6872265625"
"4800","0.683046875","0.683046875","0.683046875"
"4900","0.693984375","0.693984375","0.693984375"
"5000","0.70046875","0.70046875","0.70046875"
"5100","0.6893359375","0.6893359375","0.6893359375"
"5200","0.6841015625","0.6841015625","0.6841015625"
"5300","0.7087109375","0.7087109375","0.7087109375"
"5400","0.70484375","0.70484375","0.70484375"
"5500","0.7037109375","0.7037109375","0.7037109375"
"5600","0.715390625","0.715390625","0.715390625"
"5700","0.711484375","0.711484375","0.711484375"
"5800","0.714140625","0.714140625","0.714140625"
"5900","0.7275","0.7275","0.7275"
"6000","0.7140234375","0.7140234375","0.7140234375"
"6100","0.721171875","0.721171875","0.721171875"
"6200","0.7273046875","0.7273046875","0.7273046875"
"6300","0.7227734375","0.7227734375","0.7227734375"
"6400","0.7403515625","0.7403515625","0.7403515625"
"6500","0.7251171875","0.7251171875","0.7251171875"
"6600","0.7390625","0.7390625","0.7390625"
"6700","0.5227734375","0.5227734375","0.5227734375"
"6800","0.7360546875","0.7360546875","0.7360546875"
"6900","0.7367578125","0.7367578125","0.7367578125"
"7000","0.746796875","0.746796875","0.746796875"
"7100","0.730625","0.730625","0.730625"
"7200","0.721796875","0.721796875","0.721796875"
"7300","0.7411328125","0.7411328125","0.7411328125"
"7400","0.7331640625","0.7331640625","0.7331640625"
"7500","0.7470703125","0.7470703125","0.7470703125"
"7600","0.756328125","0.756328125","0.756328125"
"7700","0.75109375","0.75109375","0.75109375"
"7800","0.736171875","0.736171875","0.736171875"
"7900","0.7502734375","0.7502734375","0.7502734375"
"8000","0.7164453125","0.7164453125","0.7164453125"
"8100","0.74625","0.74625","0.74625"
"8200","0.748515625","0.748515625","0.748515625"
"8300","0.75265625","0.75265625","0.75265625"
"8400","0.7489453125","0.7489453125","0.7489453125"
"8500","0.7438671875","0.7438671875","0.7438671875"
"8600","0.754140625","0.754140625","0.754140625"
"8700","0.7417578125","0.7417578125","0.7417578125"
"8800","0.7344140625","0.7344140625","0.7344140625"
"8900","0.757109375","0.757109375","0.757109375"
"9000","0.7501171875","0.7501171875","0.7501171875"
"9100","0.736640625","0.736640625","0.736640625"
"9200","0.742734375","0.742734375","0.742734375"
"9300","0.752890625","0.752890625","0.752890625"
"9400","0.73578125","0.73578125","0.73578125"
"9500","0.7529296875","0.7529296875","0.7529296875"
"9600","0.7171875","0.7171875","0.7171875"
"9700","0.761328125","0.761328125","0.761328125"
"9800","0.747265625","0.747265625","0.747265625"
"9900","0.7425","0.7425","0.7425"
"10000","0.75734375","0.75734375","0.75734375"
"10100","0.7599609375","0.7599609375","0.7599609375"
"10200","0.7525390625","0.7525390625","0.7525390625"
"10300","0.7526171875","0.7526171875","0.7526171875"
"10400","0.755078125","0.755078125","0.755078125"
"10500","0.7600390625","0.7600390625","0.7600390625"
"10600","0.7550390625","0.7550390625","0.7550390625"
"10700","0.75234375","0.75234375","0.75234375"
"10800","0.751015625","0.751015625","0.751015625"
"10900","0.7640234375","0.7640234375","0.7640234375"
"11000","0.7636328125","0.7636328125","0.7636328125"
"11100","0.7712890625","0.7712890625","0.7712890625"
"11200","0.76984375","0.76984375","0.76984375"
"11300","0.7684375","0.7684375","0.7684375"
"11400","0.7785546875","0.7785546875","0.7785546875"
"11500","0.7737109375","0.7737109375","0.7737109375"
"11600","0.7670703125","0.7670703125","0.7670703125"
"11700","0.787421875","0.787421875","0.787421875"
"11800","0.786484375","0.786484375","0.786484375"
"11900","0.7889453125","0.7889453125","0.7889453125"
"12000","0.79125","0.79125","0.79125"
"12100","0.7816015625","0.7816015625","0.7816015625"
"12200","0.7872265625","0.7872265625","0.7872265625"
"12300","0.7859375","0.7859375","0.7859375"
"12400","0.79203125","0.79203125","0.79203125"
"12500","0.776953125","0.776953125","0.776953125"
"12600","0.7937109375","0.7937109375","0.7937109375"
"12700","0.7916015625","0.7916015625","0.7916015625"
"12800","0.8019140625","0.8019140625","0.8019140625"
"12900","0.8060546875","0.8060546875","0.8060546875"
"13000","0.80625","0.80625","0.80625"
"13100","0.8054296875","0.8054296875","0.8054296875"
"13200","0.782734375","0.782734375","0.782734375"
"13300","0.805078125","0.805078125","0.805078125"
"13400","0.8040234375","0.8040234375","0.8040234375"
"13500","0.8021484375","0.8021484375","0.8021484375"
"13600","0.79828125","0.79828125","0.79828125"
"13700","0.8013671875","0.8013671875","0.8013671875"
"13800","0.8023828125","0.8023828125","0.8023828125"
"13900","0.804609375","0.804609375","0.804609375"
"14000","0.808203125","0.808203125","0.808203125"
"14100","0.7480859375","0.7480859375","0.7480859375"
"14200","0.809140625","0.809140625","0.809140625"
"14300","0.8119140625","0.8119140625","0.8119140625"
"14400","0.7999609375","0.7999609375","0.7999609375"
"14500","0.813671875","0.813671875","0.813671875"
"14600","0.814140625","0.814140625","0.814140625"
"14700","0.8076953125","0.8076953125","0.8076953125"
"14800","0.809609375","0.809609375","0.809609375"
"14900","0.808984375","0.808984375","0.808984375"
"15000","0.8118359375","0.8118359375","0.8118359375"
"15100","0.8128125","0.8128125","0.8128125"
"15200","0.807734375","0.807734375","0.807734375"
"15300","0.772109375","0.772109375","0.772109375"
"15400","0.8123046875","0.8123046875","0.8123046875"
"15500","0.688984375","0.688984375","0.688984375"
"15600","0.8178125","0.8178125","0.8178125"
"15700","0.8165234375","0.8165234375","0.8165234375"
"15800","0.81578125","0.81578125","0.81578125"
"15900","0.814921875","0.814921875","0.814921875"
"16000","0.8137890625","0.8137890625","0.8137890625"
"16100","0.732109375","0.732109375","0.732109375"
"16200","0.8051171875","0.8051171875","0.8051171875"
"16300","0.8021875","0.8021875","0.8021875"
"16400","0.768046875","0.768046875","0.768046875"
"16500","0.80734375","0.80734375","0.80734375"
"16600","0.7922265625","0.7922265625","0.7922265625"
"16700","0.818359375","0.818359375","0.818359375"
"16800","0.812421875","0.812421875","0.812421875"
"16900","0.8101953125","0.8101953125","0.8101953125"
"17000","0.8116796875","0.8116796875","0.8116796875"
"17100","0.816484375","0.816484375","0.816484375"
"17200","0.8217578125","0.8217578125","0.8217578125"
"17300","0.8131640625","0.8131640625","0.8131640625"
"17400","0.8147265625","0.8147265625","0.8147265625"
"17500","0.80625","0.80625","0.80625"
"17600","0.816484375","0.816484375","0.816484375"
"17700","0.8103515625","0.8103515625","0.8103515625"
"17800","0.8126171875","0.8126171875","0.8126171875"
"17900","0.8196875","0.8196875","0.8196875"
"18000","0.814453125","0.814453125","0.814453125"
"18100","0.8153125","0.8153125","0.8153125"
"18200","0.8200390625","0.8200390625","0.8200390625"
"18300","0.8189453125","0.8189453125","0.8189453125"
"18400","0.8197265625","0.8197265625","0.8197265625"
"18500","0.8184375","0.8184375","0.8184375"
"18600","0.8121875","0.8121875","0.8121875"
"18700","0.8171875","0.8171875","0.8171875"
"18800","0.807421875","0.807421875","0.807421875"
"18900","0.8117578125","0.8117578125","0.8117578125"
"19000","0.8112890625","0.8112890625","0.8112890625"
"19100","0.808046875","0.808046875","0.808046875"
"19200","0.8158984375","0.8158984375","0.8158984375"
"19300","0.8252734375","0.8252734375","0.8252734375"
"19400","0.82171875","0.82171875","0.82171875"
"19500","0.795703125","0.795703125","0.795703125"
"19600","0.8137109375","0.8137109375","0.8137109375"
"19700","0.815859375","0.815859375","0.815859375"
"19800","0.81203125","0.81203125","0.81203125"
"19900","0.8215625","0.8215625","0.8215625"
"20000","0.8188671875","0.8188671875","0.8188671875"
