"Step","count3_medium_encoder_0_resumed_2 - sequence_accuracy","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MIN","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MAX"
"101800","0.94671875","0.94671875","0.94671875"
"101900","0.89578125","0.89578125","0.89578125"
"102000","0.91875","0.91875","0.91875"
"102100","0.9153125","0.9153125","0.9153125"
"102200","0.92171875","0.92171875","0.92171875"
"102300","0.8959375","0.8959375","0.8959375"
"102400","0.9496875","0.9496875","0.9496875"
"102500","0.94078125","0.94078125","0.94078125"
"102600","0.9040625","0.9040625","0.9040625"
"102700","0.96765625","0.96765625","0.96765625"
"102800","0.9759375","0.9759375","0.9759375"
"102900","0.96578125","0.96578125","0.96578125"
"103000","0.96484375","0.96484375","0.96484375"
"103100","0.96015625","0.96015625","0.96015625"
"103200","0.92921875","0.92921875","0.92921875"
"103300","0.92265625","0.92265625","0.92265625"
"103400","0.94921875","0.94921875","0.94921875"
"103500","0.93875","0.93875","0.93875"
"103600","0.84984375","0.84984375","0.84984375"
"103700","0.9521875","0.9521875","0.9521875"
"103800","0","0","0"
"103900","0.975","0.975","0.975"
"104000","0.9790625","0.9790625","0.9790625"
"104100","0.95875","0.95875","0.95875"
"104200","0.90625","0.90625","0.90625"
"104300","0.96640625","0.96640625","0.96640625"
"104400","0.97515625","0.97515625","0.97515625"
"104500","0.92734375","0.92734375","0.92734375"
"104600","0.92375","0.92375","0.92375"
"104700","0.9425","0.9425","0.9425"
"104800","0.94421875","0.94421875","0.94421875"
"104900","0.73953125","0.73953125","0.73953125"
"105000","0.9771875","0.9771875","0.9771875"
"105100","0.97765625","0.97765625","0.97765625"
"105200","0.95484375","0.95484375","0.95484375"
"105300","0.93484375","0.93484375","0.93484375"
"105400","0.92703125","0.92703125","0.92703125"
"105500","0.909375","0.909375","0.909375"
"105600","0.8934375","0.8934375","0.8934375"
"105700","0.89578125","0.89578125","0.89578125"
"105800","0.89234375","0.89234375","0.89234375"
"105900","0.8975","0.8975","0.8975"
"106000","0.9471875","0.9471875","0.9471875"
"106100","0.9159375","0.9159375","0.9159375"
"106200","0.94421875","0.94421875","0.94421875"
"106300","0.914375","0.914375","0.914375"
"106400","0.87140625","0.87140625","0.87140625"
"106500","0.92015625","0.92015625","0.92015625"
"106600","0.9034375","0.9034375","0.9034375"
"106700","0.9353125","0.9353125","0.9353125"
"106800","0.9128125","0.9128125","0.9128125"
"106900","0.950625","0.950625","0.950625"
"107000","0.9621875","0.9621875","0.9621875"
"107100","0.97953125","0.97953125","0.97953125"
"107200","0.97140625","0.97140625","0.97140625"
"107300","0.933125","0.933125","0.933125"
"107400","0.94953125","0.94953125","0.94953125"
"107500","0.933125","0.933125","0.933125"
"107600","0.928125","0.928125","0.928125"
"107700","0.94703125","0.94703125","0.94703125"
"107800","0.94640625","0.94640625","0.94640625"
"107900","0.93859375","0.93859375","0.93859375"
"108000","0.9103125","0.9103125","0.9103125"
"108100","0.959375","0.959375","0.959375"
"108200","0.93578125","0.93578125","0.93578125"
"108300","0.9278125","0.9278125","0.9278125"
"108400","0.93140625","0.93140625","0.93140625"
"108500","0.9515625","0.9515625","0.9515625"
"108600","0.93078125","0.93078125","0.93078125"
"108700","0.93421875","0.93421875","0.93421875"
"108800","0.92765625","0.92765625","0.92765625"
"108900","0.88875","0.88875","0.88875"
"109000","0.94421875","0.94421875","0.94421875"
"109100","0.91890625","0.91890625","0.91890625"
"109200","0.4478125","0.4478125","0.4478125"
"109300","0.97546875","0.97546875","0.97546875"
"109400","0.97921875","0.97921875","0.97921875"
"109500","0.93890625","0.93890625","0.93890625"
"109600","0.96703125","0.96703125","0.96703125"
"109700","0.9540625","0.9540625","0.9540625"
"109800","0.95546875","0.95546875","0.95546875"
"109900","0.91375","0.91375","0.91375"
"110000","0.9590625","0.9590625","0.9590625"
"110100","0.9825","0.9825","0.9825"
"110200","0.97375","0.97375","0.97375"
"110300","0.88046875","0.88046875","0.88046875"
"110400","0.9665625","0.9665625","0.9665625"
"110500","0.9246875","0.9246875","0.9246875"
"110600","0.90203125","0.90203125","0.90203125"
"110700","0.94953125","0.94953125","0.94953125"
"110800","0.88921875","0.88921875","0.88921875"
"110900","0.979375","0.979375","0.979375"
"111000","0.98328125","0.98328125","0.98328125"
"111100","0.96984375","0.96984375","0.96984375"
"111200","0.9128125","0.9128125","0.9128125"
"111300","0.96109375","0.96109375","0.96109375"
"111400","0.945","0.945","0.945"
"111500","0.90625","0.90625","0.90625"
"111600","0.9509375","0.9509375","0.9509375"
"111700","0.949375","0.949375","0.949375"
"111800","0.84328125","0.84328125","0.84328125"
"111900","0.86671875","0.86671875","0.86671875"
"112000","0.9315625","0.9315625","0.9315625"
"112100","0.91609375","0.91609375","0.91609375"
"112200","0.9446875","0.9446875","0.9446875"
"112300","0.11375","0.11375","0.11375"
"112400","0.98078125","0.98078125","0.98078125"
"112500","0.975625","0.975625","0.975625"
"112600","0.95328125","0.95328125","0.95328125"
"112700","0.92640625","0.92640625","0.92640625"
"112800","0.9578125","0.9578125","0.9578125"
"112900","0.93375","0.93375","0.93375"
"113000","0.923125","0.923125","0.923125"
"113100","0.9146875","0.9146875","0.9146875"
"113200","0.98265625","0.98265625","0.98265625"
"113300","0.9846875","0.9846875","0.9846875"
"113400","0.9775","0.9775","0.9775"
"113500","0.96265625","0.96265625","0.96265625"
"113600","0.94734375","0.94734375","0.94734375"
"113700","0.93640625","0.93640625","0.93640625"
"113800","0.9553125","0.9553125","0.9553125"
"113900","0.935625","0.935625","0.935625"
"114000","0.9284375","0.9284375","0.9284375"
"114100","0.95640625","0.95640625","0.95640625"
"114200","0.79859375","0.79859375","0.79859375"
"114300","0.94578125","0.94578125","0.94578125"
"114400","0.9540625","0.9540625","0.9540625"
"114500","0.9465625","0.9465625","0.9465625"
"114600","0.96265625","0.96265625","0.96265625"
"114700","0.94734375","0.94734375","0.94734375"
"114800","0.956875","0.956875","0.956875"
"114900","0.96359375","0.96359375","0.96359375"
"115000","0.98484375","0.98484375","0.98484375"
"115100","0.97984375","0.97984375","0.97984375"
"115200","0.95984375","0.95984375","0.95984375"
"115300","0.8909375","0.8909375","0.8909375"
"115400","0.93546875","0.93546875","0.93546875"
"115500","0.4115625","0.4115625","0.4115625"
"115600","0.98015625","0.98015625","0.98015625"
"115700","0.975625","0.975625","0.975625"
"115800","0.9603125","0.9603125","0.9603125"
"115900","0.964375","0.964375","0.964375"
"116000","0.88609375","0.88609375","0.88609375"
"116100","0.855625","0.855625","0.855625"
"116200","0.9065625","0.9065625","0.9065625"
"116300","0.89765625","0.89765625","0.89765625"
"116400","0.93125","0.93125","0.93125"
"116500","0.95765625","0.95765625","0.95765625"
"116600","0.936875","0.936875","0.936875"
"116700","0.941875","0.941875","0.941875"
"116800","0.96734375","0.96734375","0.96734375"
"116900","0.95375","0.95375","0.95375"
"117000","0.95609375","0.95609375","0.95609375"
"117100","0.045","0.045","0.045"
"117200","0.98015625","0.98015625","0.98015625"
"117300","0.98484375","0.98484375","0.98484375"
"117400","0.959375","0.959375","0.959375"
"117500","0.9140625","0.9140625","0.9140625"
"117600","0.95140625","0.95140625","0.95140625"
"117700","0.92359375","0.92359375","0.92359375"
"117800","0.88359375","0.88359375","0.88359375"
"117900","0.94828125","0.94828125","0.94828125"
"118000","0.9425","0.9425","0.9425"
"118100","0.936875","0.936875","0.936875"
"118200","0.95171875","0.95171875","0.95171875"
"118300","0.914375","0.914375","0.914375"
"118400","0.97703125","0.97703125","0.97703125"
"118500","0.9815625","0.9815625","0.9815625"
"118600","0.98375","0.98375","0.98375"
"118700","0.93921875","0.93921875","0.93921875"
"118800","0.9584375","0.9584375","0.9584375"
"118900","0.91296875","0.91296875","0.91296875"
"119000","0.94953125","0.94953125","0.94953125"
"119100","0.946875","0.946875","0.946875"
"119200","0.954375","0.954375","0.954375"
"119300","0.96359375","0.96359375","0.96359375"
"119400","0.9228125","0.9228125","0.9228125"
"119500","0.9396875","0.9396875","0.9396875"
"119600","0.47125","0.47125","0.47125"
"119700","0.97859375","0.97859375","0.97859375"
"119800","0.98390625","0.98390625","0.98390625"
"119900","0.98359375","0.98359375","0.98359375"
"120000","0.9715625","0.9715625","0.9715625"
"120100","0.9528125","0.9528125","0.9528125"
"120200","0.91390625","0.91390625","0.91390625"
"120300","0.95546875","0.95546875","0.95546875"
