"Step","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - test_acc","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - test_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - test_acc__MAX"
"500","0","0","0"
"1000","0","0","0"
"1500","0","0","0"
"2000","0","0","0"
"2500","0","0","0"
"3000","0","0","0"
"3500","0","0","0"
"4000","0","0","0"
"4500","0.0002","0.0002","0.0002"
"5000","0.0015","0.0015","0.0015"
"5500","0.0001","0.0001","0.0001"
"6000","0.0032","0.0032","0.0032"
"6500","0.0009","0.0009","0.0009"
"7000","0.0004","0.0004","0.0004"
"7500","0.0014","0.0014","0.0014"
"8000","0.0003","0.0003","0.0003"
"8500","0.0011","0.0011","0.0011"
"9000","0.0155","0.0155","0.0155"
"9500","0.0251","0.0251","0.0251"
"10000","0.0069","0.0069","0.0069"
"10500","0.0376","0.0376","0.0376"
"11000","0.0217","0.0217","0.0217"
"11500","0.1813","0.1813","0.1813"
"12000","0.1796","0.1796","0.1796"
"12500","0.103","0.103","0.103"
"13000","0.2276","0.2276","0.2276"
"13500","0.1545","0.1545","0.1545"
"14000","0.0403","0.0403","0.0403"
"14500","0.0292","0.0292","0.0292"
"15000","0.1562","0.1562","0.1562"
"15500","0.0768","0.0768","0.0768"
"16000","0.1489","0.1489","0.1489"
"16500","0.0128","0.0128","0.0128"
"17000","0.2029","0.2029","0.2029"
"17500","0.2859","0.2859","0.2859"
"18000","0.1821","0.1821","0.1821"
"18500","0.0954","0.0954","0.0954"
"19000","0.2335","0.2335","0.2335"
"19500","0.1587","0.1587","0.1587"
"20000","0.1906","0.1906","0.1906"
"20500","0.097","0.097","0.097"
"21000","0.4085","0.4085","0.4085"
"21500","0.3515","0.3515","0.3515"
"22000","0.2785","0.2785","0.2785"
"22500","0.1182","0.1182","0.1182"
"23000","0.2097","0.2097","0.2097"
"23500","0.0765","0.0765","0.0765"
"24000","0.253","0.253","0.253"
"24500","0.1502","0.1502","0.1502"
"25000","0.2207","0.2207","0.2207"
"25500","0.0408","0.0408","0.0408"
"26000","0.1298","0.1298","0.1298"
"26500","0.1192","0.1192","0.1192"
"27000","0.0045","0.0045","0.0045"
"27500","0.0643","0.0643","0.0643"
"28000","0.2668","0.2668","0.2668"
"28500","0.042","0.042","0.042"
"29000","0.0344","0.0344","0.0344"
"29500","0.1854","0.1854","0.1854"
"30000","0.1919","0.1919","0.1919"
"30500","0.2612","0.2612","0.2612"
"31000","0.0317","0.0317","0.0317"
"31500","0.1951","0.1951","0.1951"
"32000","0.2555","0.2555","0.2555"
"32500","0.2937","0.2937","0.2937"
"33000","0.08","0.08","0.08"
"33500","0.0672","0.0672","0.0672"
"34000","0","0","0"
"34500","0.034","0.034","0.034"
"35000","0.285","0.285","0.285"
"35500","0.3134","0.3134","0.3134"
"36000","0.0578","0.0578","0.0578"
"36500","0.1001","0.1001","0.1001"
"37000","0.0626","0.0626","0.0626"
"37500","0.3498","0.3498","0.3498"
"38000","0.2116","0.2116","0.2116"
"38500","0.1665","0.1665","0.1665"
"39000","0.0024","0.0024","0.0024"
"39500","0.0048","0.0048","0.0048"
"40000","0.0338","0.0338","0.0338"
"40500","0.1186","0.1186","0.1186"
"41000","0.0019","0.0019","0.0019"
"41500","0.0141","0.0141","0.0141"
"42000","0.0127","0.0127","0.0127"
"42500","0.0467","0.0467","0.0467"
"43000","0.2981","0.2981","0.2981"
"43500","0.0059","0.0059","0.0059"
"44000","0.0407","0.0407","0.0407"
"44500","0.0511","0.0511","0.0511"
"45000","0.0495","0.0495","0.0495"
"45500","0.2001","0.2001","0.2001"
"46000","0.0128","0.0128","0.0128"
"46500","0.1592","0.1592","0.1592"
"47000","0.0022","0.0022","0.0022"
"47500","0.0739","0.0739","0.0739"
"48000","0.085","0.085","0.085"
"48500","0.0148","0.0148","0.0148"
"49000","0.3889","0.3889","0.3889"
"49500","0.0776","0.0776","0.0776"
"50000","0.1971","0.1971","0.1971"
