"Step","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_acc__MAX"
"500","0.0002","0.0002","0.0002"
"1000","0.0004","0.0004","0.0004"
"1500","0","0","0"
"2000","0.0002","0.0002","0.0002"
"2500","0.0008","0.0008","0.0008"
"3000","0.0003","0.0003","0.0003"
"3500","0","0","0"
"4000","0.012","0.012","0.012"
"4500","0.018","0.018","0.018"
"5000","0.0344","0.0344","0.0344"
"5500","0.0603","0.0603","0.0603"
"6000","0.0953","0.0953","0.0953"
"6500","0.115","0.115","0.115"
"7000","0.089","0.089","0.089"
"7500","0.1554","0.1554","0.1554"
"8000","0.0311","0.0311","0.0311"
"8500","0.1786","0.1786","0.1786"
"9000","0.2496","0.2496","0.2496"
"9500","0.3579","0.3579","0.3579"
"10000","0.3757","0.3757","0.3757"
"10500","0.5484","0.5484","0.5484"
"11000","0.5152","0.5152","0.5152"
"11500","0.8073","0.8073","0.8073"
"12000","0.8845","0.8845","0.8845"
"12500","0.9079","0.9079","0.9079"
"13000","0.864","0.864","0.864"
"13500","0.6791","0.6791","0.6791"
"14000","0.7773","0.7773","0.7773"
"14500","0.8885","0.8885","0.8885"
"15000","0.7291","0.7291","0.7291"
"15500","0.6507","0.6507","0.6507"
"16000","0.8339","0.8339","0.8339"
"16500","0.78","0.78","0.78"
"17000","0.9048","0.9048","0.9048"
"17500","0.9109","0.9109","0.9109"
"18000","0.9453","0.9453","0.9453"
"18500","0.9252","0.9252","0.9252"
"19000","0.9872","0.9872","0.9872"
"19500","0.9554","0.9554","0.9554"
"20000","0.9367","0.9367","0.9367"
"20500","0.9526","0.9526","0.9526"
"21000","0.9874","0.9874","0.9874"
"21500","0.957","0.957","0.957"
"22000","0.9844","0.9844","0.9844"
"22500","0.98","0.98","0.98"
"23000","0.8774","0.8774","0.8774"
"23500","0.9561","0.9561","0.9561"
"24000","0.9462","0.9462","0.9462"
"24500","0.8403","0.8403","0.8403"
"25000","0.9804","0.9804","0.9804"
"25500","0.9399","0.9399","0.9399"
"26000","0.9568","0.9568","0.9568"
"26500","0.9816","0.9816","0.9816"
"27000","0.9618","0.9618","0.9618"
"27500","0.9972","0.9972","0.9972"
"28000","0.9965","0.9965","0.9965"
"28500","0.999","0.999","0.999"
"29000","0.9962","0.9962","0.9962"
"29500","0.9969","0.9969","0.9969"
"30000","0.9888","0.9888","0.9888"
"30500","0.9994","0.9994","0.9994"
"31000","0.9943","0.9943","0.9943"
"31500","0.9591","0.9591","0.9591"
"32000","0.9274","0.9274","0.9274"
"32500","0.9345","0.9345","0.9345"
"33000","0.945","0.945","0.945"
"33500","0.9986","0.9986","0.9986"
"34000","0.6201","0.6201","0.6201"
"34500","0.9993","0.9993","0.9993"
"35000","0.9991","0.9991","0.9991"
"35500","0.98","0.98","0.98"
"36000","0.9731","0.9731","0.9731"
"36500","0.9966","0.9966","0.9966"
"37000","0.9971","0.9971","0.9971"
"37500","0.9992","0.9992","0.9992"
"38000","0.9986","0.9986","0.9986"
"38500","0.9809","0.9809","0.9809"
"39000","0.9999","0.9999","0.9999"
"39500","0.9995","0.9995","0.9995"
"40000","0.9999","0.9999","0.9999"
"40500","0.9994","0.9994","0.9994"
"41000","0.9971","0.9971","0.9971"
"41500","0.9992","0.9992","0.9992"
"42000","0.9994","0.9994","0.9994"
"42500","0.9974","0.9974","0.9974"
"43000","0.9997","0.9997","0.9997"
"43500","0.9996","0.9996","0.9996"
"44000","0.9992","0.9992","0.9992"
"44500","0.9999","0.9999","0.9999"
"45000","0.9969","0.9969","0.9969"
"45500","0.9999","0.9999","0.9999"
"46000","0.9994","0.9994","0.9994"
"46500","0.9995","0.9995","0.9995"
"47000","0.9992","0.9992","0.9992"
"47500","0.9928","0.9928","0.9928"
"48000","0.9989","0.9989","0.9989"
"48500","0.9991","0.9991","0.9991"
"49000","0.999","0.999","0.999"
"49500","0.9982","0.9982","0.9982"
"50000","0.9989","0.9989","0.9989"
