"Step","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_acc__MAX"
"500","0.0001","0.0001","0.0001"
"1000","0.0002","0.0002","0.0002"
"1500","0","0","0"
"2000","0.0003","0.0003","0.0003"
"2500","0.0001","0.0001","0.0001"
"3000","0.0003","0.0003","0.0003"
"3500","0.0002","0.0002","0.0002"
"4000","0.0078","0.0078","0.0078"
"4500","0.0149","0.0149","0.0149"
"5000","0.0653","0.0653","0.0653"
"5500","0.9629","0.9629","0.9629"
"6000","0.2507","0.2507","0.2507"
"6500","0.1328","0.1328","0.1328"
"7000","0.9857","0.9857","0.9857"
"7500","0.0024","0.0024","0.0024"
"8000","0.0202","0.0202","0.0202"
"8500","0.0004","0.0004","0.0004"
"9000","0.0439","0.0439","0.0439"
"9500","0.8612","0.8612","0.8612"
"10000","0.9092","0.9092","0.9092"
"10500","0.892","0.892","0.892"
"11000","0.9944","0.9944","0.9944"
"11500","0.999","0.999","0.999"
"12000","0.9707","0.9707","0.9707"
"12500","1","1","1"
"13000","0.9999","0.9999","0.9999"
"13500","0.9043","0.9043","0.9043"
"14000","0.9993","0.9993","0.9993"
"14500","1","1","1"
"15000","0.921","0.921","0.921"
"15500","0.9863","0.9863","0.9863"
"16000","0.9999","0.9999","0.9999"
"16500","1","1","1"
"17000","0.9583","0.9583","0.9583"
"17500","1","1","1"
"18000","1","1","1"
"18500","0.9999","0.9999","0.9999"
"19000","0.9999","0.9999","0.9999"
"19500","0.9756","0.9756","0.9756"
"20000","0.9846","0.9846","0.9846"
"20500","0.975","0.975","0.975"
"21000","0.9987","0.9987","0.9987"
"21500","1","1","1"
"22000","1","1","1"
"22500","1","1","1"
"23000","1","1","1"
"23500","0.9997","0.9997","0.9997"
"24000","0.9999","0.9999","0.9999"
"24500","1","1","1"
"25000","1","1","1"
"25500","1","1","1"
"26000","0.9767","0.9767","0.9767"
"26500","1","1","1"
"27000","1","1","1"
"27500","1","1","1"
"28000","0.9978","0.9978","0.9978"
"28500","1","1","1"
"29000","1","1","1"
"29500","1","1","1"
"30000","1","1","1"
