"Step","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - test_acc","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - test_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - test_acc__MAX"
"500","0","0","0"
"1000","0","0","0"
"1500","0","0","0"
"2000","0","0","0"
"2500","0","0","0"
"3000","0","0","0"
"3500","0","0","0"
"4000","0.0001","0.0001","0.0001"
"4500","0.0032","0.0032","0.0032"
"5000","0.0029","0.0029","0.0029"
"5500","0.0008","0.0008","0.0008"
"6000","0.0055","0.0055","0.0055"
"6500","0","0","0"
"7000","0.0846","0.0846","0.0846"
"7500","0.3991","0.3991","0.3991"
"8000","0","0","0"
"8500","0.7156","0.7156","0.7156"
"9000","0.7534","0.7534","0.7534"
"9500","0.6912","0.6912","0.6912"
"10000","0.9253","0.9253","0.9253"
"10500","0.8227","0.8227","0.8227"
"11000","0.8362","0.8362","0.8362"
"11500","0.8798","0.8798","0.8798"
"12000","0.627","0.627","0.627"
"12500","0.9012","0.9012","0.9012"
"13000","0.9384","0.9384","0.9384"
"13500","0.9106","0.9106","0.9106"
"14000","0.9041","0.9041","0.9041"
"14500","0.6381","0.6381","0.6381"
"15000","0.6629","0.6629","0.6629"
"15500","0.5852","0.5852","0.5852"
"16000","0.73","0.73","0.73"
"16500","0.4115","0.4115","0.4115"
"17000","0.9469","0.9469","0.9469"
