"Step","reversed_addition_len_gen_extra_small_deep_encoder_2_new - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_2_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_2_new - val_acc__MAX","reversed_addition_len_gen_extra_small_deep_encoder_1_new - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_1_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_new - val_acc__MAX","reversed_addition_len_gen_extra_small_deep_encoder_0_new - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_0_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_0_new - val_acc__MAX","reversed_addition_len_gen_extra_small_deep_decoder_2_new - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_2_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_new - val_acc__MAX","reversed_addition_len_gen_extra_small_deep_decoder_1_new - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_1_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_1_new - val_acc__MAX","reversed_addition_len_gen_extra_small_deep_decoder_0_new - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_0_new - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_new - val_acc__MAX"
"500","0","0","0","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0","0","0","0.0002","0.0002","0.0002"
"1000","0.0002","0.0002","0.0002","0.0004","0.0004","0.0004","0","0","0","0.0002","0.0002","0.0002","0","0","0","0.0002","0.0002","0.0002"
"1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0004","0.0004","0.0004"
"2000","0.0006","0.0006","0.0006","0.0004","0.0004","0.0004","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0004","0.0004","0.0004","0","0","0"
"2500","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0","0","0","0.0008","0.0008","0.0008","0.001","0.001","0.001","0.0006","0.0006","0.0006"
"3000","0.0004","0.0004","0.0004","0.0004","0.0004","0.0004","0","0","0","0.0002","0.0002","0.0002","0.001","0.001","0.001","0.0006","0.0006","0.0006"
"3500","0.0006","0.0006","0.0006","0.0002","0.0002","0.0002","0","0","0","0","0","0","0.0144","0.0144","0.0144","0.0038","0.0038","0.0038"
"4000","0.0052","0.0052","0.0052","0.0064","0.0064","0.0064","0","0","0","0.0122","0.0122","0.0122","0.0148","0.0148","0.0148","0.0092","0.0092","0.0092"
"4500","0.0116","0.0116","0.0116","0.0136","0.0136","0.0136","0.0002","0.0002","0.0002","0.0164","0.0164","0.0164","0.0218","0.0218","0.0218","0.0136","0.0136","0.0136"
"5000","0.0186","0.0186","0.0186","0.0628","0.0628","0.0628","0.0004","0.0004","0.0004","0.032","0.032","0.032","0.0296","0.0296","0.0296","0.014","0.014","0.014"
"5500","0.0152","0.0152","0.0152","0.9604","0.9604","0.9604","0.0002","0.0002","0.0002","0.0606","0.0606","0.0606","0.0486","0.0486","0.0486","0.0186","0.0186","0.0186"
"6000","0.0346","0.0346","0.0346","0.2512","0.2512","0.2512","0","0","0","0.0934","0.0934","0.0934","0.5072","0.5072","0.5072","0.094","0.094","0.094"
"6500","0.006","0.006","0.006","0.132","0.132","0.132","0.0038","0.0038","0.0038","0.1158","0.1158","0.1158","0.453","0.453","0.453","0.1458","0.1458","0.1458"
"7000","0.6548","0.6548","0.6548","0.9856","0.9856","0.9856","0.0154","0.0154","0.0154","0.0896","0.0896","0.0896","0.7864","0.7864","0.7864","0.1606","0.1606","0.1606"
"7500","0.9814","0.9814","0.9814","0.0024","0.0024","0.0024","0.0156","0.0156","0.0156","0.1536","0.1536","0.1536","0.74","0.74","0.74","0.1362","0.1362","0.1362"
"8000","0.0096","0.0096","0.0096","0.0218","0.0218","0.0218","0.0158","0.0158","0.0158","0.0312","0.0312","0.0312","0.7844","0.7844","0.7844","0.164","0.164","0.164"
"8500","1","1","1","0","0","0","0.016","0.016","0.016","0.1798","0.1798","0.1798","0.4872","0.4872","0.4872","0.1714","0.1714","0.1714"
"9000","0.998","0.998","0.998","0.0432","0.0432","0.0432","0.015","0.015","0.015","0.2526","0.2526","0.2526","0.7152","0.7152","0.7152","0.3362","0.3362","0.3362"
"9500","0.9942","0.9942","0.9942","0.8622","0.8622","0.8622","0.0164","0.0164","0.0164","0.3584","0.3584","0.3584","0.8622","0.8622","0.8622","0.3332","0.3332","0.3332"
"10000","1","1","1","0.9086","0.9086","0.9086","0.0172","0.0172","0.0172","0.3798","0.3798","0.3798","0.8028","0.8028","0.8028","0.3878","0.3878","0.3878"
"10500","0.9982","0.9982","0.9982","0.8892","0.8892","0.8892","0.0168","0.0168","0.0168","0.544","0.544","0.544","0.8806","0.8806","0.8806","0.303","0.303","0.303"
"11000","0.9936","0.9936","0.9936","0.995","0.995","0.995","0.0398","0.0398","0.0398","0.5148","0.5148","0.5148","0.8494","0.8494","0.8494","0.2358","0.2358","0.2358"
"11500","1","1","1","0.9988","0.9988","0.9988","0.0728","0.0728","0.0728","0.8098","0.8098","0.8098","0.6148","0.6148","0.6148","0.3934","0.3934","0.3934"
"12000","1","1","1","0.9728","0.9728","0.9728","0.968","0.968","0.968","0.8892","0.8892","0.8892","0.7972","0.7972","0.7972","0.4452","0.4452","0.4452"
"12500","1","1","1","1","1","1","0.9986","0.9986","0.9986","0.9092","0.9092","0.9092","0.7234","0.7234","0.7234","0.4588","0.4588","0.4588"
"13000","1","1","1","1","1","1","1","1","1","0.864","0.864","0.864","0.9058","0.9058","0.9058","0.8562","0.8562","0.8562"
"13500","0.9992","0.9992","0.9992","0.9012","0.9012","0.9012","0.9784","0.9784","0.9784","0.6834","0.6834","0.6834","0.9104","0.9104","0.9104","0.226","0.226","0.226"
"14000","0.9902","0.9902","0.9902","0.9986","0.9986","0.9986","0.9772","0.9772","0.9772","0.7864","0.7864","0.7864","0.8604","0.8604","0.8604","0.9528","0.9528","0.9528"
"14500","0.963","0.963","0.963","1","1","1","0.9878","0.9878","0.9878","0.8874","0.8874","0.8874","0.8786","0.8786","0.8786","0.8964","0.8964","0.8964"
"15000","1","1","1","0.9212","0.9212","0.9212","0.9516","0.9516","0.9516","0.727","0.727","0.727","0.9064","0.9064","0.9064","0.973","0.973","0.973"
"15500","0.993","0.993","0.993","0.9858","0.9858","0.9858","0.9798","0.9798","0.9798","0.6538","0.6538","0.6538","0.8168","0.8168","0.8168","0.754","0.754","0.754"
"16000","0.9984","0.9984","0.9984","1","1","1","0.9598","0.9598","0.9598","0.835","0.835","0.835","0.7528","0.7528","0.7528","0.1468","0.1468","0.1468"
"16500","0.8494","0.8494","0.8494","1","1","1","0.9986","0.9986","0.9986","0.7814","0.7814","0.7814","0.932","0.932","0.932","0.9926","0.9926","0.9926"
"17000","1","1","1","0.955","0.955","0.955","0.987","0.987","0.987","0.904","0.904","0.904","0.7552","0.7552","0.7552","0.996","0.996","0.996"
"17500","1","1","1","1","1","1","0.9982","0.9982","0.9982","0.9134","0.9134","0.9134","0.946","0.946","0.946","0.9922","0.9922","0.9922"
"18000","1","1","1","1","1","1","1","1","1","0.948","0.948","0.948","0.9356","0.9356","0.9356","0.994","0.994","0.994"
"18500","1","1","1","1","1","1","1","1","1","0.9258","0.9258","0.9258","0.7738","0.7738","0.7738","0.9808","0.9808","0.9808"
"19000","0.995","0.995","0.995","1","1","1","1","1","1","0.988","0.988","0.988","0.97","0.97","0.97","0.9948","0.9948","0.9948"
"19500","0.9832","0.9832","0.9832","0.9758","0.9758","0.9758","0.9796","0.9796","0.9796","0.9574","0.9574","0.9574","0.7534","0.7534","0.7534","0.9924","0.9924","0.9924"
"20000","0.9438","0.9438","0.9438","0.9848","0.9848","0.9848","0.6562","0.6562","0.6562","0.9412","0.9412","0.9412","0.8828","0.8828","0.8828","0.9964","0.9964","0.9964"
"20500","0.9692","0.9692","0.9692","0.9734","0.9734","0.9734","0.9996","0.9996","0.9996","0.9542","0.9542","0.9542","0.9296","0.9296","0.9296","0.9958","0.9958","0.9958"
"21000","0.9988","0.9988","0.9988","0.9984","0.9984","0.9984","1","1","1","0.9852","0.9852","0.9852","0.9592","0.9592","0.9592","0.9726","0.9726","0.9726"
"21500","0.9998","0.9998","0.9998","1","1","1","0.9974","0.9974","0.9974","0.9578","0.9578","0.9578","0.921","0.921","0.921","0.9976","0.9976","0.9976"
"22000","1","1","1","1","1","1","1","1","1","0.982","0.982","0.982","0.9548","0.9548","0.9548","0.9956","0.9956","0.9956"
"22500","0.988","0.988","0.988","1","1","1","1","1","1","0.9792","0.9792","0.9792","0.8862","0.8862","0.8862","0.9954","0.9954","0.9954"
"23000","1","1","1","1","1","1","0.9972","0.9972","0.9972","0.876","0.876","0.876","0.9144","0.9144","0.9144","0.997","0.997","0.997"
"23500","0.9994","0.9994","0.9994","0.9996","0.9996","0.9996","0.9986","0.9986","0.9986","0.9558","0.9558","0.9558","0.9534","0.9534","0.9534","0.998","0.998","0.998"
"24000","1","1","1","1","1","1","0.999","0.999","0.999","0.9468","0.9468","0.9468","0.8794","0.8794","0.8794","0.994","0.994","0.994"
"24500","0.9998","0.9998","0.9998","1","1","1","0.981","0.981","0.981","0.8424","0.8424","0.8424","0.9042","0.9042","0.9042","0.9688","0.9688","0.9688"
"25000","1","1","1","1","1","1","1","1","1","0.9798","0.9798","0.9798","0.9624","0.9624","0.9624","0.9984","0.9984","0.9984"
"25500","","","","","","","","","","0.937","0.937","0.937","0.9532","0.9532","0.9532","0.9934","0.9934","0.9934"
"26000","","","","","","","","","","0.958","0.958","0.958","0.9568","0.9568","0.9568","0.9996","0.9996","0.9996"
"26500","","","","","","","","","","0.9812","0.9812","0.9812","0.9128","0.9128","0.9128","0.995","0.995","0.995"
"27000","","","","","","","","","","0.9612","0.9612","0.9612","0.9276","0.9276","0.9276","0.9566","0.9566","0.9566"
"27500","","","","","","","","","","0.997","0.997","0.997","0.8398","0.8398","0.8398","0.9984","0.9984","0.9984"
"28000","","","","","","","","","","0.9966","0.9966","0.9966","0.9728","0.9728","0.9728","0.9978","0.9978","0.9978"
"28500","","","","","","","","","","0.999","0.999","0.999","0.8288","0.8288","0.8288","0.284","0.284","0.284"
"29000","","","","","","","","","","0.9962","0.9962","0.9962","0.874","0.874","0.874","0.9988","0.9988","0.9988"
"29500","","","","","","","","","","0.996","0.996","0.996","0.9376","0.9376","0.9376","0.998","0.998","0.998"
"30000","","","","","","","","","","0.9886","0.9886","0.9886","0.848","0.848","0.848","0.9758","0.9758","0.9758"
"30500","","","","","","","","","","0.9994","0.9994","0.9994","0.9546","0.9546","0.9546","0.9998","0.9998","0.9998"
"31000","","","","","","","","","","0.9946","0.9946","0.9946","0.9696","0.9696","0.9696","0.9108","0.9108","0.9108"
"31500","","","","","","","","","","0.9584","0.9584","0.9584","0.9726","0.9726","0.9726","0.959","0.959","0.959"
"32000","","","","","","","","","","0.9264","0.9264","0.9264","0.9456","0.9456","0.9456","0.9992","0.9992","0.9992"
