"Step","reversed_addition_len_gen_extra_small_deep_encoder_2_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_encoder_2_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_encoder_2_new - test_acc_n_digits_11__MAX","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_11__MAX","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_11__MAX","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_11__MAX","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_11__MAX","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_11","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_11__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_11__MAX"
"500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3500","0","0","0","0","0","0","0","0","0","0","0","0","0.000794912559618442","0.000794912559618442","0.000794912559618442","0","0","0"
"4000","0","0","0","0.0013248542660307366","0.0013248542660307366","0.0013248542660307366","0","0","0","0","0","0","0","0","0","0","0","0"
"4500","0.005029337803855826","0.005029337803855826","0.005029337803855826","0.001589825119236884","0.001589825119236884","0.001589825119236884","0","0","0","0","0","0","0.0047694753577106515","0.0047694753577106515","0.0047694753577106515","0.00027277686852154935","0.00027277686852154935","0.00027277686852154935"
"5000","0.004191114836546521","0.004191114836546521","0.004191114836546521","0.013513513513513514","0.013513513513513514","0.013513513513513514","0","0","0","0.0013970382788488405","0.0013970382788488405","0.0013970382788488405","0.002649708532061473","0.002649708532061473","0.002649708532061473","0","0","0"
"5500","0.0016764459346186086","0.0016764459346186086","0.0016764459346186086","0.5188129305776364","0.5188129305776364","0.5188129305776364","0","0","0","0","0","0","0.0013248542660307366","0.0013248542660307366","0.0013248542660307366","0","0","0"
"6000","0.005308745459625594","0.005308745459625594","0.005308745459625594","0.006359300476947536","0.006359300476947536","0.006359300476947536","0","0","0","0.003911707180776753","0.003911707180776753","0.003911707180776753","0.000794912559618442","0.000794912559618442","0.000794912559618442","0.002182214948172395","0.002182214948172395","0.002182214948172395"
"6500","0","0","0","0.003179650238473768","0.003179650238473768","0.003179650238473768","0","0","0","0.0008382229673093043","0.0008382229673093043","0.0008382229673093043","0.03232644409114997","0.03232644409114997","0.03232644409114997","0.010365521003818877","0.010365521003818877","0.010365521003818877"
"7000","0.15115954177144453","0.15115954177144453","0.15115954177144453","0.8142554319024907","0.8142554319024907","0.8142554319024907","0.006273867975995636","0.006273867975995636","0.006273867975995636","0.0005588153115395362","0.0005588153115395362","0.0005588153115395362","0.5468998410174881","0.5468998410174881","0.5468998410174881","0.0016366612111292963","0.0016366612111292963","0.0016366612111292963"
"7500","0.6739312657166806","0.6739312657166806","0.6739312657166806","0","0","0","0.004637206764866339","0.004637206764866339","0.004637206764866339","0.003911707180776753","0.003911707180776753","0.003911707180776753","0.2294647588765236","0.2294647588765236","0.2294647588765236","0.0016366612111292963","0.0016366612111292963","0.0016366612111292963"
"8000","0.0002794076557697681","0.0002794076557697681","0.0002794076557697681","0.011393746687864335","0.011393746687864335","0.011393746687864335","0.0024549918166939444","0.0024549918166939444","0.0024549918166939444","0.0005588153115395362","0.0005588153115395362","0.0005588153115395362","0.1658717541070482","0.1658717541070482","0.1658717541070482","0.01691216584833606","0.01691216584833606","0.01691216584833606"
"8500","0.9069572506286673","0.9069572506286673","0.9069572506286673","0","0","0","0.0035460992907801418","0.0035460992907801418","0.0035460992907801418","0.0016764459346186086","0.0016764459346186086","0.0016764459346186086","0.055908850026497085","0.055908850026497085","0.055908850026497085","0.0035460992907801418","0.0035460992907801418","0.0035460992907801418"
"9000","0.8988544286113439","0.8988544286113439","0.8988544286113439","0.010333863275039745","0.010333863275039745","0.010333863275039745","0.007910529187124931","0.007910529187124931","0.007910529187124931","0.030176026823134954","0.030176026823134954","0.030176026823134954","0.2148913619501855","0.2148913619501855","0.2148913619501855","0.08537915984724495","0.08537915984724495","0.08537915984724495"
"9500","0.8636490639843531","0.8636490639843531","0.8636490639843531","0.35585585585585583","0.35585585585585583","0.35585585585585583","0.0032733224222585926","0.0032733224222585926","0.0032733224222585926","0.05224923162894663","0.05224923162894663","0.05224923162894663","0.13751987281399047","0.13751987281399047","0.13751987281399047","0.07010365521003818","0.07010365521003818","0.07010365521003818"
"10000","0.9941324392288349","0.9941324392288349","0.9941324392288349","0.372284048754637","0.372284048754637","0.372284048754637","0.00845608292416803","0.00845608292416803","0.00845608292416803","0.010338083263481419","0.010338083263481419","0.010338083263481419","0.25675675675675674","0.25675675675675674","0.25675675675675674","0.058919803600654665","0.058919803600654665","0.058919803600654665"
"10500","0.9620005588153115","0.9620005588153115","0.9620005588153115","0.8335983041865395","0.8335983041865395","0.8335983041865395","0.0008183306055646482","0.0008183306055646482","0.0008183306055646482","0.07544006705783739","0.07544006705783739","0.07544006705783739","0.5286168521462639","0.5286168521462639","0.5286168521462639","0.007910529187124931","0.007910529187124931","0.007910529187124931"
"11000","0.9298686784017882","0.9298686784017882","0.9298686784017882","0.8887122416534181","0.8887122416534181","0.8887122416534181","0.008183306055646482","0.008183306055646482","0.008183306055646482","0.0525286392847164","0.0525286392847164","0.0525286392847164","0.3645998940116587","0.3645998940116587","0.3645998940116587","0","0","0"
"11500","0.9801620564403465","0.9801620564403465","0.9801620564403465","0.9888712241653418","0.9888712241653418","0.9888712241653418","0.012002182214948172","0.012002182214948172","0.012002182214948172","0.3657446214026264","0.3657446214026264","0.3657446214026264","0.14202437731849496","0.14202437731849496","0.14202437731849496","0.02564102564102564","0.02564102564102564","0.02564102564102564"
"12000","0.8932662754959486","0.8932662754959486","0.8932662754959486","0.7334393216746158","0.7334393216746158","0.7334393216746158","0.7926895799236224","0.7926895799236224","0.7926895799236224","0.3830678960603521","0.3830678960603521","0.3830678960603521","0.05670376258611553","0.05670376258611553","0.05670376258611553","0.024822695035460994","0.024822695035460994","0.024822695035460994"
"12500","0.9717798267672534","0.9717798267672534","0.9717798267672534","0.9994700582935877","0.9994700582935877","0.9994700582935877","0.8608837970540099","0.8608837970540099","0.8608837970540099","0.2109527801061749","0.2109527801061749","0.2109527801061749","0.4854266030736619","0.4854266030736619","0.4854266030736619","0.001363884342607747","0.001363884342607747","0.001363884342607747"
"13000","0.9960882928192233","0.9960882928192233","0.9960882928192233","0.9848966613672496","0.9848966613672496","0.9848966613672496","0.9702673213311511","0.9702673213311511","0.9702673213311511","0.4392288348700754","0.4392288348700754","0.4392288348700754","0.06783253842077372","0.06783253842077372","0.06783253842077372","0.21358428805237317","0.21358428805237317","0.21358428805237317"
